CO2_mean,light_mean,sound_mean,sex,age,noiseOfficeEquipment,noiseTelephones,s7_better,Construction year,talk,noiseExterior
700.9924599434496,112.90485074626864,41.353544776119406,Male,4.0,False,False,0,1995.0,True,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,2.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,,2.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,0.0,False,False,1,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,1.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,1.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,3.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,2.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,3.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,3.0,False,False,0,1995.0,False,False
700.9924599434496,112.90485074626864,41.353544776119406,Female,1.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,2.0,False,False,0,1995.0,True,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,3.0,False,False,0,1995.0,False,False
708.3195488721805,180.9216417910448,41.96455223880597,Female,2.0,False,True,0,1995.0,True,False
708.3195488721805,180.9216417910448,41.96455223880597,Male,3.0,False,False,0,1995.0,False,False
506.5978835978836,193.36183524504693,42.99374348279458,Male,0.0,True,False,0,1963.0,True,False
480.6980952380952,354.3333333333333,41.48813982521848,Female,1.0,False,False,0,1963.0,True,True
531.02634467618,438.7339097022094,41.525456292026895,Female,1.0,False,False,0,1963.0,True,False
480.6980952380952,354.3333333333333,41.48813982521848,Female,1.0,False,False,0,1963.0,False,False
480.6980952380952,354.3333333333333,41.48813982521848,Female,2.0,False,False,1,1963.0,True,False
480.6980952380952,354.3333333333333,41.48813982521848,Female,2.0,False,False,0,1963.0,True,False
576.187866927593,360.1842105263158,45.8515037593985,Female,3.0,False,False,0,1963.0,False,False
576.187866927593,360.1842105263158,45.8515037593985,Female,3.0,False,False,0,1963.0,False,False
531.02634467618,438.7339097022094,41.525456292026895,Female,3.0,False,False,0,1963.0,False,False
480.6980952380952,354.3333333333333,41.48813982521848,Male,0.0,False,False,1,1963.0,False,False
506.5978835978836,193.36183524504693,42.99374348279458,Female,4.0,False,False,0,1963.0,False,False
480.6980952380952,354.3333333333333,41.48813982521848,Female,3.0,False,False,0,1963.0,True,True
977.7389748201437,734.5616906474834,41.96455223880597,Male,4.0,False,False,0,1990.0,False,False
954.179540636041,1368.6531802120126,41.96455223880597,Female,0.0,False,False,0,1990.0,False,False
908.9140138408308,679.2152249134961,41.96455223880597,Female,1.0,True,True,1,1990.0,True,True
954.179540636041,1368.6531802120126,41.96455223880597,Female,1.0,False,False,1,1990.0,True,True
977.7389748201437,734.5616906474834,41.96455223880597,Male,3.0,False,False,1,1990.0,True,False
925.6856506849316,2137.917294520548,41.96455223880597,Female,0.0,False,False,1,1990.0,True,True
925.6856506849316,2137.917294520548,41.96455223880597,,0.0,False,False,1,1990.0,False,False
977.7389748201437,734.5616906474834,41.96455223880597,Male,0.0,False,False,1,1990.0,False,False
844.4010139860138,1025.5772727272715,41.96455223880597,Male,4.0,False,False,0,1990.0,False,False
977.7389748201437,734.5616906474834,41.96455223880597,Female,2.0,True,True,0,1990.0,True,False
925.6856506849316,2137.917294520548,41.96455223880597,Female,2.0,False,False,0,1990.0,False,False
908.9140138408308,679.2152249134961,41.96455223880597,Female,1.0,False,False,0,1990.0,True,False
617.7592119565218,1019.3697391304362,41.96455223880597,Male,2.0,False,False,0,1994.0,False,False
809.8974462365592,994.4988172043022,41.96455223880597,Male,4.0,False,False,0,1994.0,False,False
661.1246893638171,624.3770377733597,41.96455223880597,Male,4.0,False,False,0,1994.0,True,True
661.1246893638171,624.3770377733597,41.96455223880597,Female,2.0,False,False,1,1994.0,True,True
661.1246893638171,624.3770377733597,41.96455223880597,Male,3.0,False,False,0,1994.0,False,False
