building,sex,age,job,contacts,smoker,distToWindow,windowOrientation,officeInterior,personsInOffice,hoursatdesk,photocopier,outside,perfume,food,tobaccoSmoke,printer,carpet,cleaningProd,noiseTraffic,noiseOverhearing,noiseOfficeEquipment,noiseTelephones,noisePhoneTalk,noiseNeighborTalk,noisemechanical,lightTooDark,lightTooBright,lightTooLittleDaylight,lightTooMuchDaylight,lightFlicker,lightReflections,lightColor,lightNoTask,symptabilitywork,symptstayhome,performanceOverall,indoorClimate,officeID,month,s0_better,s1_better,s3_better,s7_better,SBS1,SBS2
306,Female,_40-49,Administrative,None,never,0-2,east,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,4.0,3060A,10,0,0,0,0,0,0
306,Male,_>60,Managerial,Glasses,former,0-2,east,single,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,3060A,10,0,0,0,0,0,0
306,Female,_50-60,Administrative,Glasses,never,0-2,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,,False,----,----,5.0,3.0,3060B,10,0,1,1,1,1,1
306,Female,_30-39,Administrative,Glasses,current,0-2,east,shared,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,3061A,10,0,0,0,0,0,0
307,Male,_20-29,Technical,None,former,0-2,west,withoutPartitions,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,4.0,307a,10,0,1,1,0,1,1
307,Male,_30-39,Technical,None,never,0-2,south,shared,4-5,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,4.0,307a,10,0,0,0,0,0,0
307,Male,_40-49,Administrative,None,former,,south,withoutPartitions,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,----,----,6.0,5.0,307a,10,0,0,0,0,0,0
307,Male,_20-29,Technical,Glasses,former,0-2,norhteast,withPartitions,>5,1-2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,4.0,307a,10,0,0,0,0,0,0
309,Male,_40-49,Managerial,None,never,0-2,west,withoutPartitions,>5,1-2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_1-5,_0,4.0,3.0,309b,4,0,0,0,0,0,0
309,Male,_30-39,Technical,None,never,0-2,southwest,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_0,_0,5.0,5.0,309a,4,0,0,0,0,0,0
